Phlegmatic  The weather becomes Calm.
Central Expanse  During Kohryu, your skills ignore the foe's ability, your held items are not negated and gain Wisdom Eye.
Gentei's Water  Water skills are 50% more powerful during Genbu. Earth-skill damage is halved during Genbu.
Sutei's Fire  Fire skills are 50% more powerful during Suzaku. Water-skill damage is halved during Suzaku.
Byakutei's Metal  Steel skills are 50% more powerful during Byakko. Fire-skill damage is halved during Byakko.
Seitei's Wood  Nature skills are 50% more powerful during Seiryu. Steel-skill damage is halved during Seiryu.
Koutei's Earth  Earth skills are 50% more powerful during Kohryu. Nature-skill damage is halved during Kohryu.
Instant Win  Your speed is increased by 50% on the first turn after entering the field.
First Hit  Attack power is boosted by 20% when moving first.
Ascertainment  Opponent's Ability does not boost their attacks.
Convergence  If you miss a skill, your accuracy increases.
On the Edge  At 1 HP, Speed is tripled and attacks do 30% more damage.
Invalidate  Removes the opponent's Ability on entry.
Pride  SpAtk increases by 50% when statused, ignores SpAtk drop from Fear.
Intuition  Blocks increased priority skills.
Flat Speed  Lowers increased priority skills to 0 for both sides.
Known Limits  Gives and receives 33% less damage from skills that don't match the user's type.
Fast Talker  Two-turn skills can be used in one turn, but they are 10% less powerful.
Full Power  Skills are 20% more powerful, but takes damage after attacking.
Two of a Kind  The power of skills go down by 40%, but you will do an additional attack.
Affinity Twist  Both parties super effective and resisted elements are reversed. Type immunities will be ignored.
Normal Bonus  Boosts the power of Void skills by 40%.
Flame Bonus  Boosts the power of Fire skills by 40%.
Aqua Bonus  Boosts the power of Water skills by 40%.
Leaf Bonus  Boosts the power of Nature skills by 40%.
Ground Bonus  Boosts the power of Earth skills by 40%.
Metal Bonus  Boosts the power of Steel skills by 40%.
Gust Bonus  Boosts the power of Wind skills by 40%.
Spark Bonus  Boosts the power of Electric skills by 40%.
Bright Bonus  Boosts the power of Light skills by 40%.
Shade Bonus  Boosts the power of Dark skills by 40%.
Soul Bonus  Boosts the power of Nether skills by 40%.
Venom Bonus  Boosts the power of Poison skills by 40%.
Aura Bonus  Boosts the power of Fighting skills by 40%.
Vision Bonus  Boosts the power of Illusion skills by 40%.
Music Bonus  Boosts the power of Sound skills by 40%.
Twisted Bonus  Boosts the power of Warped skills by 40%.
Invigorative  Skills you're immune to will increase your Fo.Atk by one stage.
Deflective  Skills you're immune to will increase your Fo.Def and Sp.Def by one stage.
Stimulative  Skills you're immune to will increase your Sp.Atk by one stage.
Evasive  Skills you're immune to will increase your Sp.Def by one stage.
Impulsive  Skills you're immune to will increase your Speed by one stage.
Counter Stance  Damages the attacker when hit with a BU skill.
Reflect Guard  Damages the attacker when hit with a EN skill.
Strange Rainbow  Boosts FoAtk by 30% during Sunshower.
Fox's Wedding  Doubles Speed during Sunshower.
Divine Festival  Status ailments are cured at the end of every turn during Sunshower.
None  None.
Disjointed Blow  The power of super effective attacks is increased by 40%.
Resurrection (Trial)  NULL
Restraint  If the foe uses a switch-out skill, they are unable to switch for 2 turns.
Bibliophilia  When holding a youma scroll, a certain stat is doubled, and typing and ability is changed.
Wariness  Disables skills with 50 or less BP.
Mode Shift  Changes form when using attack skills. Reverts using Supernatural Border.
Reverse Function  Opponent's stat changes are reversed.
Dream World  Stopped opponents take damage every turn.
Three Bodies  Form changes based on the class of skills used.
Poison Labyrinth  Only Poison-type opponents can flee.
Overcompensate  Draining skills absorb 30% more HP.
Harassment  When your stats drop, so does the foe. When the foe's stats increase, your stats increase as well.
Supine  Changes weather to Sunshower upon switch in.
Mindless Dance  2-3 turn skills have no special effects, but are 10% less powerful.
Final Form  Boosts damage of same-type skills by 50% when HP is less than 1/3.
Brute Force  User is able to ignore the foe's ability, but unable to use items.
Serious  SpAtk and Speed increase one stage every turn.
Infinite Dream  The terrain becomes Seiryu.
Scorching Sun  The terrain becomes Suzaku.
3rd Eye  The terrain becomes Byakko.
Reverse Ideology  The terrain becomes Genbu.
Earth Creation  The terrain becomes Kohryu.
Stone Stacker  Status moves activate twice.
Idola Diabolus  Adjusts defensive stats based on the foe's offensive stats.
Fascination  Summons Heavy Fog and Seiryuu.
Astronomy  Increases own BU skills' power by 20%
Empowered  Increases own EN skills' power by 20%.
Secret Ceremony  Adjusts type based on terrain and weather.
Grand Opening  Light skills receive +1 to their priority.
Blizzard  At full HP, Water skills receive +1 to their priority. Unimplemented.
Cursed Being  Drains 10% of foe's HP every turn. Defense is lowered by 10%.
Eden's Apple  Foe's Status moves lose their effects. Unimplemented.
Silent Running  During Calm, Speed is doubled.
